29,2026-06-17 20:47:21.03625+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: -6.00,0.00000,0.0000,10582.57,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
30,2026-06-17 20:47:59.190545+03,HEALER,Amputacion Tactica. Lotes: 0.25,-10.00000,44.4960,10569.07,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
31,2026-06-17 20:50:03.825792+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: 21.25,0.00000,0.0000,10588.07,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
32,2026-06-17 20:50:42.910728+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: -1.75,0.00000,0.0000,10585.07,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
33,2026-06-17 20:54:04.476583+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: 105.75,0.00000,0.0000,10686.07,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
34,2026-06-17 20:56:40.338771+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: 1.00,0.00000,0.0000,10685.57,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
35,2026-06-17 21:08:03.825637+03,UNWIND,Profit Banking. Money: 1399.25,0.00000,0.0000,1679.58,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
36,2026-06-17 21:17:41.092643+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: 1.21,0.00000,0.0000,54.60,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
37,2026-06-17 21:24:30.542701+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: 0.74,0.00000,0.0000,55.29,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
38,2026-06-17 21:30:25.235181+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: 2.87,0.00000,0.0000,58.10,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
39,2026-06-17 21:33:46.085452+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: 11.52,0.00000,0.0000,70.98,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
40,2026-06-17 21:34:07.09883+03,EXITO,Cierre CICLO (Basket Profit Trail). PnL: 0.94,0.00000,0.0000,71.86,XAUUSD+,81118671-d5ba-4d49-9fb3-4499b54a3d93
